,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1750,2801009.0,Campo do Brito,28.0,SE,461.3666666666667,469.46999999999997,456.08500000000004,506.88611111111106,587.5
1751,2801108.0,Canhoba,28.0,SE,476.7,482.65,440.85,377.0,370.0
1752,2801207.0,Canindé de São Francisco,28.0,SE,453.4142857142857,444.6125,438.20625,477.075,518.125
1753,2801306.0,Capela,28.0,SE,440.12551020408165,446.2274509803921,431.70588235294116,462.70816326530615,545.0980392156863
1754,2801405.0,Carira,28.0,SE,453.01190476190476,472.69302325581396,451.51627906976745,485.1666666666667,568.8372093023256
1755,2801504.0,Carmópolis,28.0,SE,454.15365853658534,477.23409090909087,462.725,472.3756097560976,523.1818181818181
1756,2801603.0,Cedro de São João,28.0,SE,457.54285714285714,457.18571428571425,442.5142857142857,475.9714285714286,608.5714285714286
1757,2801702.0,Cristinápolis,28.0,SE,459.9619047619048,498.17727272727274,462.44545454545454,487.74285714285713,582.7272727272727
1758,2801900.0,Cumbe,28.0,SE,457.7,521.2,476.7,559.4,840.0
1759,2802007.0,Divina Pastora,28.0,SE,433.5875,458.875,449.45,443.1,322.5
1760,2802106.0,Estância,28.0,SE,481.0421621621622,500.06307692307695,484.85538461538465,519.8702702702702,631.1794871794872
1761,2802205.0,Feira Nova,28.0,SE,416.125,417.625,421.2,455.3,390.0
1762,2802304.0,Frei Paulo,28.0,SE,460.0736842105263,487.66499999999996,462.855,485.3789473684211,609.0
1763,2802403.0,Gararu,28.0,SE,442.37647058823535,480.895,447.09499999999997,461.3882352941177,446.0
1764,2802502.0,General Maynard,28.0,SE,431.70625,462.19375,438.40625,464.425,492.5
1765,2802601.0,Gracho Cardoso,28.0,SE,499.8,517.3545454545455,493.92727272727274,526.2363636363636,647.2727272727273
1766,2802700.0,Ilha das Flores,28.0,SE,402.075,411.075,396.525,430.05,377.5
1767,2802809.0,Indiaroba,28.0,SE,434.5585365853659,433.80434782608694,430.67391304347825,441.13902439024395,456.95652173913044
1768,2802908.0,Itabaiana,28.0,SE,503.2004444444445,528.8589247311828,505.0017204301075,562.1891111111112,703.3978494623656
1769,2803005.0,Itabaianinha,28.0,SE,466.41803278688525,488.15833333333336,472.8454545454545,514.0704918032786,689.2424242424242
1770,2803104.0,Itabi,28.0,SE,433.33000000000004,454.445,447.895,474.495,529.0
1771,2803203.0,Itaporanga d'Ajuda,28.0,SE,472.76060606060605,462.49428571428575,447.2057142857143,483.96363636363634,608.0
1772,2803302.0,Japaratuba,28.0,SE,450.82727272727277,462.6148936170213,470.7106382978724,494.10909090909087,669.7872340425532
1773,2803401.0,Japoatã,28.0,SE,443.88571428571424,462.9785714285714,457.4357142857143,476.1642857142857,602.8571428571429
1774,2803500.0,Lagarto,28.0,SE,486.15446685878965,516.1645070422535,494.9109859154929,538.5095100864553,688.6760563380282
1775,2803609.0,Laranjeiras,28.0,SE,406.9642857142857,459.55,427.65714285714284,451.5357142857143,498.57142857142856
1776,2803708.0,Macambira,28.0,SE,481.22631578947363,487.92105263157896,469.90000000000003,502.9789473684211,671.578947368421
1777,2803807.0,Malhada dos Bois,28.0,SE,447.25,465.42727272727274,423.58181818181816,472.87,418.1818181818182
1778,2803906.0,Malhador,28.0,SE,527.2333333333333,559.5090909090909,525.6515151515151,604.5272727272728,821.2121212121212
1779,2804003.0,Maruim,28.0,SE,439.7367346938775,453.0634615384615,446.8134615384615,459.97142857142853,498.0769230769231
1780,2804102.0,Moita Bonita,28.0,SE,478.62727272727267,481.87727272727267,465.98636363636365,519.7318181818182,728.1818181818181
1781,2804201.0,Monte Alegre de Sergipe,28.0,SE,485.7307692307692,495.31538461538463,497.0076923076923,510.94615384615383,641.5384615384615
1782,2804300.0,Muribeca,28.0,SE,433.23333333333335,430.1774193548387,440.6548387096774,461.22333333333336,476.1290322580645
1783,2804409.0,Neópolis,28.0,SE,445.14166666666665,457.42564102564097,453.68205128205125,457.1472222222222,528.7179487179487
1784,2804458.0,Nossa Senhora Aparecida,28.0,SE,469.73636363636365,472.02727272727276,467.23636363636365,508.74545454545455,594.5454545454545
1785,2804508.0,Nossa Senhora da Glória,28.0,SE,489.39418604651166,512.1931428571429,493.2194285714285,547.5494186046511,664.6857142857143
1786,2804607.0,Nossa Senhora das Dores,28.0,SE,449.1910447761194,473.10555555555555,455.90833333333336,489.09850746268654,608.8888888888889
1787,2804706.0,Nossa Senhora de Lourdes,28.0,SE,454.98928571428576,458.196551724138,453.62068965517244,454.3464285714286,530.3448275862069
1788,2804805.0,Nossa Senhora do Socorro,28.0,SE,465.45193798449617,498.18659420289856,477.9764492753623,498.89457364341087,625.072463768116
1789,2804904.0,Pacatuba,28.0,SE,424.56874999999997,458.2315789473684,432.5315789473684,462.59375,445.2631578947368
1790,2805000.0,Pedra Mole,28.0,SE,443.05,458.0625,417.0875,463.0125,537.5
1791,2805109.0,Pedrinhas,28.0,SE,516.0333333333333,483.91,478.53999999999996,537.1333333333333,650.0
1792,2805208.0,Pinhão,28.0,SE,408.40909090909093,445.1363636363636,428.04545454545456,460.26363636363635,590.9090909090909
1793,2805307.0,Pirambu,28.0,SE,485.925,498.84285714285716,436.4571428571429,437.45000000000005,565.7142857142857
1794,2805406.0,Poço Redondo,28.0,SE,455.07894736842104,466.445,426.6,459.61578947368423,510.0
1795,2805505.0,Poço Verde,28.0,SE,462.67857142857144,498.89130434782606,487.7260869565218,494.5380952380952,609.5652173913044
1796,2805604.0,Porto da Folha,28.0,SE,458.31929824561405,453.4491803278689,430.21475409836063,471.7105263157895,520.0
1797,2805703.0,Propriá,28.0,SE,491.26395348837207,529.2459770114942,514.1850574712644,547.553488372093,701.6091954022988
1798,2805802.0,Riachão do Dantas,28.0,SE,430.6,437.40000000000003,433.45652173913044,455.5142857142857,626.9565217391304
1799,2805901.0,Riachuelo,28.0,SE,423.45714285714286,446.5,398.11428571428576,446.8,462.85714285714283
1800,2806008.0,Ribeirópolis,28.0,SE,478.39294117647063,498.1383720930233,478.2151162790698,515.9576470588236,675.8139534883721
1801,2806107.0,Rosário do Catete,28.0,SE,438.4,486.25,452.6,464.9357142857143,466.25
1802,2806206.0,Salgado,28.0,SE,467.32250000000005,489.9725,457.2125,485.33500000000004,612.5
1803,2806305.0,Santa Luzia do Itanhy,28.0,SE,458.025,446.575,473.025,463.6625,590.0
1804,2806404.0,Santana do São Francisco,28.0,SE,446.0,430.78,418.6,477.76363636363635,433.3333333333333
1805,2806503.0,Santa Rosa de Lima,28.0,SE,448.7904761904762,466.347619047619,453.5952380952381,468.0761904761905,552.3809523809524
1806,2806602.0,Santo Amaro das Brotas,28.0,SE,460.4818181818182,468.84999999999997,427.35833333333335,469.75454545454545,511.6666666666667
1807,2806701.0,São Cristóvão,28.0,SE,463.02457142857145,485.15245901639344,472.16557377049185,499.7497142857143,590.4918032786885
1808,2806800.0,São Domingos,28.0,SE,451.25,461.9684210526316,445.86315789473684,486.54999999999995,551.578947368421
1809,2806909.0,São Francisco,28.0,SE,392.3,426.45,362.45,417.05,530.0
1810,2807006.0,São Miguel do Aleixo,28.0,SE,504.59999999999997,519.65,411.55,541.1,625.0
1811,2807105.0,Simão Dias,28.0,SE,483.30948905109483,502.54583333333335,482.99861111111113,510.8321167883212,633.3333333333334
1812,2807204.0,Siriri,28.0,SE,424.92068965517245,437.9413793103448,431.61379310344824,482.22758620689655,555.1724137931035
1813,2807303.0,Telha,28.0,SE,453.84444444444443,452.7111111111111,409.6111111111111,480.5111111111112,395.55555555555554
1814,2807402.0,Tobias Barreto,28.0,SE,484.56258992805755,502.0386206896552,492.49655172413793,532.1374100719424,652.551724137931
1815,2807501.0,Tomar do Geru,28.0,SE,440.91764705882355,484.5666666666667,470.8611111111111,451.5764705882353,582.2222222222222
1816,2807600.0,Umbaúba,28.0,SE,484.3380952380952,497.7106060606061,483.1106060606061,511.3285714285714,613.3333333333334
1817,2900108.0,Abaíra,29.0,BA,463.53999999999996,496.52,484.18,548.0,704.0
1818,2900207.0,Abaré,29.0,BA,423.71875,441.55483870967737,423.5870967741936,459.10625,569.0322580645161
1819,2900306.0,Acajutiba,29.0,BA,441.9875,467.2583333333334,457.26666666666665,465.7083333333333,496.6666666666667
1820,2900355.0,Adustina,29.0,BA,486.3166666666667,493.04285714285714,454.2285714285714,502.04999999999995,647.6190476190476
1821,2900405.0,Água Fria,29.0,BA,431.03846153846155,444.25,437.62857142857143,472.59230769230766,507.14285714285717
1822,2900504.0,Érico Cardoso,29.0,BA,429.56666666666666,437.6666666666667,400.8933333333333,446.76666666666665,574.6666666666666
1823,2900603.0,Aiquara,29.0,BA,399.3666666666666,420.775,456.2,532.1666666666666,505.0
1824,2900702.0,Alagoinhas,29.0,BA,488.64642857142854,516.5990867579909,502.9059360730593,524.2483333333333,625.3881278538813
1825,2900801.0,Alcobaça,29.0,BA,461.5764705882353,472.6833333333333,474.9166666666667,499.2352941176471,601.1111111111111
1826,2900900.0,Almadina,29.0,BA,458.1666666666667,494.475,420.225,473.40000000000003,540.0
1827,2901007.0,Amargosa,29.0,BA,478.3006802721088,511.09999999999997,493.19671052631577,514.9938775510204,617.1052631578947
1828,2901106.0,Amélia Rodrigues,29.0,BA,466.19444444444446,488.97945205479454,480.5671232876713,483.2944444444444,588.7671232876712
1829,2901155.0,América Dourada,29.0,BA,496.46000000000004,482.87999999999994,482.2799999999999,456.4599999999999,596.0
1830,2901205.0,Anagé,29.0,BA,445.0142857142857,437.66,447.26666666666665,436.79285714285714,496.0
1831,2901304.0,Andaraí,29.0,BA,438.24545454545455,347.87272727272733,441.41818181818184,435.97272727272724,394.54545454545456
1832,2901353.0,Andorinha,29.0,BA,480.37619047619046,452.1125,441.54583333333335,486.83809523809526,575.0
1833,2901403.0,Angical,29.0,BA,461.0625,424.8666666666667,439.5888888888889,468.5875,400.0
1834,2901502.0,Anguera,29.0,BA,455.4636363636364,485.82727272727277,503.22727272727275,430.9818181818182,538.1818181818181
1835,2901601.0,Antas,29.0,BA,444.4611111111111,478.7729729729729,459.8486486486487,475.12777777777774,476.7567567567568
1836,2901700.0,Antônio Cardoso,29.0,BA,471.09999999999997,456.2857142857143,418.9428571428571,505.09999999999997,614.2857142857143
1837,2901809.0,Antônio Gonçalves,29.0,BA,449.6545454545454,462.79090909090905,452.9818181818182,452.1545454545454,510.90909090909093
1838,2901908.0,Aporá,29.0,BA,450.0076923076923,451.164,447.244,473.0423076923077,553.6
1839,2901957.0,Apuarema,29.0,BA,439.2483870967742,444.70000000000005,457.4741935483871,475.01612903225805,575.483870967742
1840,2902005.0,Aracatu,29.0,BA,418.2230769230769,438.2923076923077,420.3538461538462,447.11538461538464,441.53846153846155
1841,2902054.0,Araçás,29.0,BA,473.8,446.92857142857144,426.2,450.78000000000003,488.57142857142856
1842,2902104.0,Araci,29.0,BA,473.96440677966103,490.0136363636364,473.9318181818182,495.26271186440675,607.5757575757576
1843,2902203.0,Aramari,29.0,BA,439.73,470.73999999999995,443.1,468.98999999999995,528.0
1844,2902252.0,Arataca,29.0,BA,490.8125,491.6,457.0,528.5,508.0
